name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Jalen Ramsey,CB,6-0,185,4.63,4.04,40.3,41.0,130.32
Ryan Jenkins,WR,5-11,176,4.53,4.01,41.3,36.0,122.88
Deangelo Yancey,WR,6-1.5,201,4.66,4.25,34.9,41.5,116.61
Trey Burks,RB,5-8,183,4.63,4.11,38.6,38.5,116.04
Harvey Harris,RB,5-10,157,4.54,4.18,37.3,40.0,112.59
Shaun Rupert,CB,6-0,179,4.71,4.28,37.7,40.5,110.13
Chequan Burkett,LB,6-0,201,4.87,4.25,33.6,41.0,105.78
Travis Custis,RB,5-11.5,207,4.67,4.35,36.6,37.5,105.60
Jordan Dooley,RB,5-10,183,4.59,4.29,36.7,37.5,105.09
Chaz Thornton,RB,5-8,170,4.55,4.16,34.0,37.0,103.98
Brendan Langley,WR,6-1,181,4.61,4.19,36.3,36.0,103.71
Joshua Smith,WR,6-.5,183,4.58,4.37,33.3,40.0,103.47
Paul Davis,S,5-11,201,4.69,4.38,35.0,39.5,103.38
Cory Battle,RB,5-7,150,4.62,4.18,42.5,33.0,102.84
Chase Pankey,CB,5-11.5,170,4.61,4.30,36.3,38.0,102.24
Jacob Nichols,RB,5-11,181,4.75,4.04,33.6,35.5,99.66
Kevin Holmes Ii,LB,6-.5,214,4.90,4.25,31.0,40.0,99.33
Corey Winfield,WR,6-.5,174,4.71,4.30,38.0,36.5,99.00
Tymashian Clemons,QB,5-10.5,165,4.72,3.98,34.8,33.0,98.55
Phillip Booker,CB,5-11.5,159,4.68,4.10,35.0,36.0,98.25
Lawrence Austin,CB,5-8,172,4.66,4.06,37.1,31.0,98.07
Craig Mackey,CB,5-10.5,174,4.93,4.45,36.4,44.5,97.53
Chris Jordan,RB,5-10,205,4.73,4.30,30.9,38.0,96.78
Marquis Griffin,DB,5-10.5,181,4.65,4.13,34.3,33.0,96.63
Tyler Henderson,RB,5-8,165,4.58,4.18,32.9,35.5,96.57
Donovahn Jones,QB,6-2,190,4.69,4.12,35.3,31.0,95.25
Nathaniel Miller Jr.,WR,5-8.5,159,4.53,4.27,34.8,34.5,95.07
Drew Gibson,LB,6-.5,231,4.82,4.42,31.0,38.0,94.95
Richardre Bagley,RB,5-8,159,4.56,4.24,35.8,33.0,94.35
Kellen Ash,LB,6-1.5,194,4.86,4.25,33.7,37.0,94.08
Connor Reed,WR,5-9,181,4.63,4.19,33.8,32.5,93.51
Jacob Mays,WR,6-1.5,198,4.81,4.33,32.6,37.5,93.00
De Andre Day,RB,5-8.5,174,4.61,4.37,37.1,33.0,92.73
Cj Posey,RB,5-8.5,168,4.62,4.25,37.9,31.0,92.55
Arman Smith,CB,5-7,159,4.78,4.03,32.8,34.0,91.47
Tomas Colbert,WR,6-0,183,4.58,4.25,31.5,33.0,91.35
Weylin Orr,RB,5-6,172,4.63,4.38,34.5,35.5,91.11
Keyston Fuller,WR,5-11,174,4.56,4.34,38.8,28.5,90.42
Julian Franklin,RB,5-10,179,4.55,4.37,35.8,31.0,90.36
Kel Parham,CB,5-9.5,179,4.60,4.31,31.9,34.5,90.30
Elijah Staley,QB,6-6,207,4.89,4.53,34.2,38.0,89.82
Tre Jackson,LB,5-8,216,4.86,4.39,30.3,37.5,89.76
Brooks Stroud,QB,5-11.5,181,4.84,4.38,32.1,39.5,89.70
