name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
O.J. Howard,TE,6-5.5,225,4.63,4.44,33.2,38.5,104.22
David Akintonde,CB,5-6.5,161,4.56,4.18,38.6,31.5,98.64
John Marvin,CB,6-1,187,4.66,4.25,36.3,33.0,96.72
Devaun Swafford,WR,5-10,174,4.80,4.16,32.2,37.0,93.00
Jacob Martinez,QB,5-11.5,176,4.68,4.16,34.3,32.5,92.76
Deangelo Yancey,WR,6-1,201,4.59,4.72,31.3,39.5,91.95
Brandon Peters,S,6-.5,192,4.61,4.57,35.5,35.5,91.35
Jonathan Mc Nair,RB,5-5,154,4.75,4.03,37.0,30.0,90.81
Bryan Bell,CB,5-9,161,4.64,4.41,36.9,35.0,90.15
Jarren Johnson,WR,5-10,192,4.67,4.40,35.0,33.0,89.79
Kylen Towner,CB,5-6.5,168,4.57,4.38,35.3,33.0,89.64
Tim Quickel,LB,6-.5,183,4.64,4.32,33.6,33.0,89.64
Larry Cage,LB,6-2,190,4.69,4.34,32.3,35.0,89.55
Jamal Lucas,LB,5-11,205,4.77,4.41,32.6,36.0,89.43
Berron Tyson,RB,5-8,163,4.63,4.40,37.3,33.0,89.34
Brandon Padgett,S,5-11,172,4.67,4.32,34.4,34.0,89.13
Je Vontey Smith,WR,6-1,183,4.69,4.22,31.9,33.0,88.89
Calvin Moore,QB,5-11,176,4.61,4.47,36.0,33.0,88.08
Xavier Kynard,WR,5-11.5,194,5.02,4.28,33.6,36.5,87.72
Jacob Nichols,RB,5-11.5,176,4.67,4.23,32.0,32.5,87.27
Ryan Noonan,QB,6-1.5,198,4.72,4.43,31.2,35.0,85.74
Tony Whitehead,WR,6-1.5,203,4.69,4.44,28.2,36.5,85.50
Luke Davis,S,6-1,194,4.80,4.34,30.7,35.5,85.20
Forrest Town,RB,5-10.5,172,4.78,4.28,35.6,32.0,84.87
Malik Foreman,WR,5-10,163,4.57,4.31,32.8,31.5,84.84
Darryl Campbell,WR,6-2,181,4.69,4.37,31.9,34.0,84.72
Justice Owens,WR,5-8.5,161,4.57,4.38,32.7,33.0,84.51
Alvin Moore,LB,5-11.5,176,4.55,4.47,33.0,32.0,84.09
Delvin Purifoy,LB,6-2,212,4.70,5.04,35.3,35.5,84.03
Irving Adams,S,5-10,187,4.77,4.34,29.7,36.0,83.91
Raekwon Mc Clellan,TE,5-11,249,5.08,4.53,30.8,35.5,83.76
Jamal Blackmon,RB,5-7.5,172,4.72,4.38,33.7,33.5,83.19
Kobe Mc Crary,RB,5-11,207,4.86,4.47,32.1,35.0,83.13
Khalil Thomas,RB,5-6.5,170,4.69,4.31,30.9,34.0,82.98
Christopher Lowery,WR,6-.5,198,4.76,4.56,32.1,35.5,82.59
William Barnes,RB,5-10,185,4.87,4.38,36.2,32.0,82.41
Marques John,DL,6-1,229,4.90,4.67,29.7,37.5,82.32
Sidney Steele,WR,5-9,161,4.65,4.56,36.9,33.0,82.26
Jamaris Hart,CB,5-9,150,4.69,4.40,34.2,34.5,81.87
Marquise Shelton,RB,5-9.5,170,4.81,4.31,33.0,34.0,81.84
Michael Howard,RB,5-7.5,192,4.72,4.37,31.3,32.0,81.57
Kailon Carter,WR,6-1,216,4.96,4.44,31.4,35.0,81.45
Kentrell Spencer,WR,5-7.5,159,4.67,4.43,36.9,31.0,81.33
Marjarvis Mcgee,RB,5-6,223,4.96,4.56,29.8,37.0,80.91
Hanson Guice,CB,5-9,163,4.68,4.62,35.8,34.5,80.91
Patrick Reed,WR,5-9.5,176,4.61,4.59,32.4,34.0,80.85
Patrick Perry Iii,QB,5-10.5,161,4.71,4.31,31.9,33.0,80.55
Dashawn Benton,S,5-11.5,170,4.90,4.31,29.1,37.5,80.04
Edetric Carthan,CB,5-11,172,4.92,4.38,36.1,33.0,79.98
Mario Cherry,RB,5-7,172,4.62,4.31,32.5,29.5,79.86
Tiberias Lampkin,RB,5-7,176,4.81,4.47,36.3,32.0,79.83
Tommy Jones,LB,5-10,187,4.78,4.47,31.0,35.0,79.80
Tyre Mc Cants,WR,5-10.5,181,4.75,4.69,34.9,35.0,79.65
Marcus Clark,CB,5-7,183,4.59,4.31,30.4,29.0,79.29
Jamad Smith,S,6-.5,170,4.68,4.43,32.6,32.5,79.29
Logan Moragne,RB,5-7.5,176,4.61,4.38,33.6,28.5,79.11
Gavin Wehby,QB,5-11,165,4.58,4.60,31.0,35.0,79.08
Justin Lucas,S,5-8,168,4.87,4.37,34.9,33.0,78.81
Boston Scott,RB,5-6,174,4.80,4.31,32.4,32.0,78.72
Carlos Robinson,RB,5-11.5,196,4.80,4.69,37.3,31.0,78.48
Stanley Mays,RB,5-6,159,4.69,4.41,35.9,30.5,78.33
Ahmad Bennett,RB,5-9.5,183,4.74,4.28,30.0,31.0,78.27
Michael Leverette,RB,5-10,170,4.83,4.53,32.1,37.0,78.00
Jamaar Cole,QB,6-5,187,4.79,4.75,35.0,34.5,77.97
Gerald Sterling,DE,6-3,245,5.11,4.80,24.4,40.5,77.94
Elcee Refuge,S,5-9,212,5.07,4.25,29.5,32.5,77.82
Chris Knowles,WR,5-11.5,190,4.78,4.37,27.7,34.5,77.82
Lawrence Lee,WR,5-10,163,4.71,4.63,33.7,35.5,77.79
Le Marcus Steward,WR,5-11.5,194,4.67,4.50,28.8,33.0,77.73
Javorius Hunter,LB,5-11,190,4.70,4.47,29.6,33.0,77.64
Deldrick Canty,LB,6-1.5,247,5.07,4.75,27.9,37.5,77.64
Todd Spriggins,RB,5-8,163,4.72,4.28,33.0,30.0,77.46
Trebian Suggs,CB,5-6.5,159,4.65,4.53,32.8,33.5,77.37
Kelvin Wells Jr,RB,5-10.5,176,4.70,4.28,30.7,30.0,77.28
Schyller Dieuveille,CB,5-7.5,170,4.69,4.35,31.6,31.0,77.25
Picasso Nelson,DB,5-9.5,174,4.85,4.38,30.0,35.5,77.22
Chandler Burkett,DE,6-3.5,223,4.77,4.63,30.4,32.0,76.80
Kelvin Winston,S,6-1,192,4.85,4.44,30.0,34.5,76.77
Patrick Parks,LB,5-7,174,4.84,4.34,32.0,32.5,76.77
Jaleel Green,WR,6-.5,176,4.82,4.44,32.8,33.0,76.68
Justin Martin,RB,5-8,179,4.72,4.62,31.6,35.0,76.68
Devoriae Martin,RB,5-8,179,4.94,4.37,31.2,35.0,76.50
Raheem Lopez`,S,6-0,168,4.78,4.58,32.4,36.0,76.41
Terance Leatherwood,LB,6-.5,205,4.95,4.31,30.3,31.5,76.35
Dwight Herlong,DL,6-2.5,201,4.96,4.50,32.0,34.0,76.08
Kyle Franklin,CB,5-7,152,4.71,4.44,31.3,34.5,76.05
Trey Ervin,S,5-10,161,4.96,4.43,34.2,35.5,76.02
Tre Shon Selders,QB,5-11,185,4.91,4.44,33.1,33.0,75.99
Deshun Gibson,CB,6-.5,185,4.89,4.62,35.3,33.5,75.99
Deavious Ghee Moton,RB,5-11,207,4.83,4.84,33.4,34.0,75.87
Justin Abston,CB,5-10,165,4.84,4.22,33.8,29.5,75.84
Luke Holt,LB,5-11.5,201,5.08,4.44,32.8,33.5,75.84
Dalvin Populist,QB,6-0,196,4.84,4.47,31.8,32.0,75.78
Marlon Page,RB,5-7.5,157,4.69,4.38,32.0,31.5,75.57
Evan Labat,WR,5-8,148,4.69,4.19,33.6,27.5,75.45
