name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Derrick Henry,RB,6-3,240,4.58,4.15,40.3,42.0,138.03
Jordan Reus,WR,5-10,161,4.57,3.90,38.0,38.0,119.28
Samolu Jallah,S,5-9,183,4.87,4.34,42.0,38.0,105.78
Matt Milano,S,6-0,194,4.64,4.25,34.3,38.0,104.52
Carson Jackson,WR,6-2,190,4.65,4.12,31.0,38.5,104.19
Adam Lane,RB,5-8,216,4.72,4.32,33.6,38.5,103.47
Jacques Bryant,LB,6-0,176,4.77,4.56,38.2,43.0,102.63
Darius Chapes,LB,5-11.5,196,4.90,4.28,33.9,40.0,99.06
Rayfield Dixon,LB,6-3,192,4.82,4.28,38.1,36.0,98.88
Alex Gomez,WR,5-11,168,4.56,4.00,31.7,32.0,98.52
Clyde Newton,RB,6-1,201,4.87,4.41,34.7,40.0,97.53
Shaquill Griffin,CB,6-1,183,4.59,4.47,33.2,39.0,96.96
Ja Juan Pollock,WR,5-8,152,4.62,4.32,34.9,39.0,96.90
Shaquem Griffin,S,6-1,183,4.65,4.16,31.4,36.0,96.69
Skyler Humphrey,RB,5-7,157,4.75,4.04,36.3,34.0,96.42
Jared Reimel,QB,6-3,194,4.67,4.19,32.0,35.0,96.33
Joshua Mercer,RB,5-10.5,185,4.58,4.22,31.7,35.0,95.97
Dominic Walker,WR,6-1.5,194,4.79,4.16,32.8,36.0,95.94
Stepheny Durham Iv,CB,5-10,168,4.70,4.53,38.5,39.0,95.85
Rapheal Webb,RB,5-10,190,4.77,4.38,36.3,36.5,94.80
Keyon Brown,DE,6-2,227,4.77,4.59,32.8,38.5,94.74
Branton Lee,WR,5-8,163,4.56,4.19,32.6,34.5,94.14
Antwan Washington,QB,6-1,198,4.96,4.47,38.9,37.0,93.51
Richard Montgomery,RB,5-7,159,4.61,4.19,34.5,34.0,93.12
Quinton Powell,LB,6-2,187,4.80,4.28,32.1,38.0,93.09
Brad Hyman Muhammad,CB,5-10,163,4.62,4.22,32.4,36.0,92.97
Charles Nelson,RB,5-8,163,4.64,4.22,34.0,35.0,92.70
Tj Harrell,DE,6-1,192,4.75,4.34,29.6,39.5,92.58
Wyatt Thomas,TE,6-4,190,4.70,4.38,31.3,38.0,92.49
Joseph Figueroa,S,5-9.5,179,4.83,4.22,31.0,39.0,92.22
Bryant Welch,LB,5-11,179,4.90,4.28,33.5,39.0,91.89
Nathan Obinwa,DE,6-3,220,4.70,4.51,32.9,35.5,91.74
Dj Gillins,QB,6-3,185,4.87,4.66,35.6,40.5,91.44
Courtney Allen,RB,5-6.5,181,4.73,4.25,33.4,35.0,91.41
John Armstrong,RB,5-7,161,4.59,4.10,33.8,31.0,91.38
Brandon Crawford,DE,6-1,223,4.78,4.79,33.9,38.5,90.87
Keanu Neal,S,6-1,201,4.67,4.34,33.8,32.5,90.72
Tim Miller,WR,6-.5,183,4.85,4.38,38.0,35.0,90.45
Wade Forde,DE,6-3,203,5.17,4.19,35.8,35.0,90.00
Matt Breida,RB,5-10,163,4.68,4.29,35.3,34.5,89.97
Kamran Sawyer,WR,6-1,198,4.73,4.47,29.3,39.5,89.67
Jerlarius Watkins,U,5-11,187,4.74,4.53,33.6,38.0,89.31
"Alfonso Randolph, Jr.",RB,5-10,179,4.73,4.40,36.7,34.0,89.04
Anthony Caiazzo,RB,5-6,161,4.80,4.22,33.0,37.0,88.92
Isaac Tanner,LB,6-0,201,4.87,4.25,33.0,34.0,88.62
Hunter Lafflin,LB,6-3,205,4.98,4.47,31.2,40.0,88.38
Stephen Bridges,RB,5-6,150,4.75,4.09,38.0,30.0,88.26
Dominique Brown,CB,5-11,183,4.72,4.37,37.2,31.5,88.05
Willie Smith,WR,5-11,170,4.78,4.31,34.2,36.0,88.02
Jeremy Kerr,TE,6-5,236,5.24,4.19,26.4,38.5,87.81
Jojo Kemp,RB,5-11,185,4.67,4.37,34.8,32.0,87.75
Eddie Burgos,CB,5-11,179,4.56,4.34,32.9,31.5,87.48
Natrell Jamerson,WR,5-11,170,4.59,4.29,30.4,34.5,87.45
Aaron Burkett Jr.,CB,6-1,163,4.81,4.28,35.6,35.0,87.30
Devon Jones Stewart,LB,6-2.5,181,4.66,4.41,33.6,34.0,87.00
Rohan Hylton,LB,5-10.5,209,4.81,4.28,31.1,33.0,86.88
Lorenzo Reeves,RB,5-11,203,4.76,4.41,32.8,34.0,86.55
Kevin Goic,WR,5-11,165,4.70,4.12,29.6,33.5,86.49
Tony Fields,S,5-10,187,4.83,4.41,34.2,36.0,86.43
Todd Macon,RB,5-9,196,4.78,4.41,26.0,40.0,86.37
Winston Chastang,DE,6-4,227,4.77,4.34,27.1,35.0,86.22
Cody Etze,DL,6-3,220,4.78,4.63,32.5,36.0,86.04
Deshane Cruse,CB,5-10,179,4.79,4.41,35.3,35.0,85.77
Lance Brown,RB,5-9,176,4.79,4.50,36.7,35.5,85.68
Craig Mackey,CB,5-11,172,4.82,4.36,31.3,38.0,85.62
Kwadarrius Smith,CB,5-8.5,150,4.68,4.22,33.2,33.5,85.50
Charlie Kelly,WR,5-6,168,4.92,4.18,31.0,37.0,85.44
Keenan Adkins,RB,5-8.5,159,4.80,4.25,36.6,32.5,85.26
Tracy Johnson,QB,6-1,161,5.07,4.21,31.6,39.5,85.23
Kyle Presnick,S,5-11,194,4.82,4.38,30.7,36.5,85.20
Stavany Joseph,S,5-10,176,4.85,4.41,37.4,34.0,85.14
Jamell Garrett,S,5-10,170,4.78,4.43,33.6,37.0,85.11
Kye Hall,LB,5-10,179,5.03,4.18,31.1,37.0,85.08
Joshua Knight,WR,6-1,172,4.89,4.22,33.1,35.0,84.93
Deon Thompson,RB,5-8.5,172,4.58,4.40,34.0,31.5,84.87
Ryan Cooper,CB,5-7,157,4.85,4.28,38.9,32.0,84.66
Kenyan Davis,CB,5-10,159,4.69,4.28,34.9,32.0,84.60
Ty'ronte Files,RB,5-5,176,4.84,4.38,33.8,36.0,84.54
Mikal Cromartie,WR,5-8,161,4.98,4.26,38.2,33.5,84.54
Korey Charles,RB,5-9,154,4.76,4.26,35.9,32.5,84.12
Ervin Alston,LB,6-0,192,4.96,4.10,32.0,31.5,83.94
Jamal Whittaker,DL,6-0,236,4.91,4.63,32.0,35.5,83.88
Bryan Tirado,LB,5-10,185,4.75,4.44,31.8,35.5,83.55
Jamarlon Hamilton,RB,5-9,214,4.96,4.59,33.0,37.0,83.49
Cameron Livingston,WR,6-2,181,4.74,4.39,33.8,33.0,83.40
Monte Bell,DL,5-11,245,4.89,4.54,26.8,37.0,83.34
Ryan Dick,QB,5-10,170,4.65,4.41,36.6,30.5,83.16
Brian Denmark,LB,6-3,196,4.70,4.37,26.8,36.0,83.10
Harry Brown,LB,5-11,198,4.83,4.38,31.6,34.0,82.74
Roman Tatum,CB,5-9,161,4.73,4.13,31.8,31.0,82.74
Taylor Marini,TE,6-4,227,4.82,4.47,29.0,34.5,82.68
Jeremy Boykins,CB,6-1.5,168,4.67,4.50,34.0,34.5,82.65
Terrell Lewis,S,6-.5,201,4.75,4.37,32.6,31.0,82.35
Shayne Rodney,CB,5-9,154,4.57,4.13,33.6,26.5,82.20
Jarrett Wald Gretebeck,DE,6-3,225,4.98,4.29,26.8,35.5,81.90
Marvin Brown,RB,5-7.5,174,4.61,4.56,33.7,33.0,81.54
Jj Stevens,WR,5-4,150,4.82,4.19,36.0,31.0,81.21
Kameron Bannister,WR,5-10,152,4.76,4.47,35.1,36.0,81.15
Stafon Mccray,RB,5-10.5,196,4.72,4.38,29.6,33.0,81.03
Lonnie Marts Iii,RB,6-2,201,4.83,4.71,31.0,38.0,80.82
Arthur Williams,S,6-3,179,4.79,4.34,34.4,31.0,80.04
jourdan osinskie,QB,6-1,209,5.07,4.56,30.5,38.5,79.98
Kevin Ramos,S,6-1,170,4.83,4.28,34.2,31.5,79.80
Deonshay Wells,RB,5-8,161,4.62,4.25,29.2,31.5,79.59
Chaston Carter,CB,5-7,141,4.79,4.00,32.1,28.5,79.14
William Sims,RB,5-7.5,190,4.71,4.47,32.1,32.0,79.08
Brian Johnson,LB,6-0,212,5.11,4.50,28.6,39.0,78.99
Travis Manecke,DE,6-1,240,5.26,4.57,28.3,38.5,78.81
Divine Maloney,S,6-1,176,5.06,4.23,32.4,34.0,78.75
London Byrd,LB,5-11,216,5.04,4.75,32.0,38.0,78.75
Christian Maldonado,LB,6-.5,187,4.72,4.53,30.1,35.0,78.66
Mikee Hayes,CB,5-9,161,4.60,4.25,30.9,29.5,78.66
Keith White,CB,5-8,161,4.75,4.41,34.2,33.0,78.63
Zackary Hoover,LB,5-11.5,176,4.96,4.29,30.0,36.0,78.18
Alex Bouie,RB,5-8,170,4.62,4.37,29.3,32.0,78.18
Kevin James,CB,5-10,172,4.70,4.37,32.3,31.0,78.03
Lloyd Hylton,RB,5-10,176,4.62,4.31,31.6,28.5,77.97
Joshua Holoman,RB,6-1,163,4.80,4.37,38.0,29.0,77.76
Colton Plante,LB,6-2,216,4.94,4.57,28.6,37.0,77.70
Falon Lee,RB,5-9,172,4.91,4.44,34.8,34.0,77.70
Sheldon Mcfadden,RB,5-5,152,4.90,4.25,35.0,32.0,77.58
Brad Harris,WR,6-3,187,4.89,4.38,30.4,34.5,77.43
Dacorius Law,RB,5-11,179,4.57,4.81,34.1,32.0,77.28
Riley Nicholson,DB,6-0,205,4.92,4.52,32.1,33.5,77.13
Roody Clerisier,CB,5-9.5,141,4.80,4.37,40.6,29.0,76.95
Reginald Allen,S,6-.5,165,4.90,4.22,28.1,35.5,76.92
Jamaal Eveillard,RB,5-9,179,4.74,4.34,33.0,29.5,76.89
Casey Gunderson,QB,5-11,165,4.83,4.32,32.0,33.0,76.80
Rashawn Shaw,LB,6-3,220,4.91,4.47,28.3,34.0,76.65
Brogan Ronske,LB,6-1,187,4.73,4.47,30.0,33.0,76.65
Reggie Gainer,WR,5-11.5,176,4.83,4.47,32.8,33.5,76.35
Jalin Hubbard,WR,5-9,154,4.63,4.66,36.2,32.0,76.32
Jiuzhang Li,RB,5-10.5,172,4.80,4.62,33.4,35.5,76.20
Allen Wilson,WR,6-0,181,4.78,4.44,30.5,33.5,76.17
David Cook,LB,6-0,174,4.69,4.37,28.4,32.5,76.17
Kyle Kaminski,S,6-1,190,4.75,4.59,27.2,37.0,76.11
Deigo Powers,S,5-10,150,4.89,4.22,30.5,34.5,76.11
William Johnson,RB,5-8,150,4.54,4.56,32.5,32.0,75.93
Rashad Wright,DE,6-2,203,5.03,4.53,32.6,34.5,75.84
Luke Helms,LB,6-2,216,5.16,4.48,26.1,39.0,75.78
Evan Klomp,WR,5-7,157,4.72,4.13,31.4,28.0,75.75
Parker Kempfer,QB,5-11.5,157,4.95,4.28,35.0,32.0,75.72
Jordan Gray,CB,5-10,161,4.72,4.34,30.9,32.0,75.60
Josh Zifer,QB,6-2,165,4.86,4.25,28.4,34.0,75.48
Darryyl Copeland,RB,5-5.5,148,4.66,4.35,31.0,32.0,75.36
